40   20.0      0.1                 1
      5.00
 -0.584169724005E+02  0.230535222001E+01 -0.122201723352E+01 -0.837040110707E-01                      0.784880164546E+00 -0.276213839033E-02
 -0.582963922943E+02  0.227635110188E+01 -0.124873239279E+01 -0.849347607499E-01                      0.785209799470E+00 -0.274094414793E-02
 -0.581758121881E+02  0.224734998374E+01 -0.127544755207E+01 -0.861655104291E-01                      0.785539434394E+00 -0.271974990553E-02
 -0.579715558241E+02  0.219851573891E+01 -0.132056962832E+01 -0.882216201182E-01                      0.786104801442E+00 -0.268372225410E-02
 -0.576793167680E+02  0.212910797485E+01 -0.138448702757E+01 -0.910958533010E-01                      0.786930270885E+00 -0.263179992783E-02
 -0.572927237397E+02  0.203815485348E+01 -0.146780681644E+01 -0.947767927349E-01                      0.788050712997E+00 -0.256248889244E-02
 -0.568034875106E+02  0.192451038186E+01 -0.157111131616E+01 -0.992396650455E-01                      0.789512108944E+00 -0.247386017269E-02
 -0.562013376572E+02  0.178694290152E+01 -0.169477764028E+01 -0.104438286279E+00                      0.791372109628E+00 -0.236355633948E-02
 -0.554739862258E+02  0.162425231573E+01 -0.183872834590E+01 -0.110295090311E+00                      0.793700324343E+00 -0.222881452644E-02
 -0.546071928537E+02  0.143541686598E+01 -0.200210365517E+01 -0.116689659336E+00                      0.796578024556E+00 -0.206651630187E-02
 -0.535850777707E+02  0.121976579038E+01 -0.218285637100E+01 -0.123446780000E+00                      0.800096836156E+00 -0.187327709323E-02
 -0.523909297252E+02  0.977168040684E+00 -0.237729138414E+01 -0.130325862293E+00                      0.804355884674E+00 -0.164558956981E-02
 -0.510088625302E+02  0.708221106171E+00 -0.257960545927E+01 -0.137014445907E+00                      0.809456791748E+00 -0.138003556591E-02
 -0.494267189086E+02  0.414421312030E+00 -0.278152907781E+01 -0.143129139757E+00                      0.815495964047E+00 -0.107357871215E-02
 -0.476404752568E+02  0.983018296901E-01 -0.297222202646E+01 -0.148227145576E+00                      0.822553860223E+00 -0.723944003953E-03
 -0.456598998561E+02 -0.236461910301E+00 -0.313860750939E+01 -0.151829919221E+00                      0.830681464305E+00 -0.330080763376E-03
 -0.435142660175E+02 -0.584966136249E+00 -0.326631243377E+01 -0.153457344915E+00                      0.839885083894E+00  0.107307410210E-03
 -0.412557122722E+02 -0.941007467947E+00 -0.334127774914E+01 -0.152666887895E+00                      0.850111741525E+00  0.585196450441E-03
 -0.389570582670E+02 -0.129708138914E+01 -0.335189771438E+01 -0.149089738325E+00                      0.861238524051E+00  0.109768494325E-02
 -0.367016030789E+02 -0.164461925815E+01 -0.329128185914E+01 -0.142457698074E+00                      0.873069744694E+00  0.163550921433E-02
 -0.345653944041E+02 -0.197473686763E+01 -0.315902208764E+01 -0.132621518929E+00                      0.885345034969E+00  0.218571810941E-02
 -0.325969287173E+02 -0.227971992743E+01 -0.296183953373E+01 -0.119570356916E+00                      0.897759221755E+00  0.273163304898E-02
 -0.308025757014E+02 -0.255513390600E+01 -0.271276715900E+01 -0.103465485208E+00                      0.909991510266E+00  0.325326175448E-02
 -0.291451544142E+02 -0.280185324364E+01 -0.242901634311E+01 -0.846923272758E-01                      0.921738357259E+00  0.372834884352E-02
 -0.275574177059E+02 -0.302679491625E+01 -0.212914274255E+01 -0.639139442481E-01                      0.932742995517E+00  0.413417879400E-02
 -0.259649365082E+02 -0.324123410617E+01 -0.183032250041E+01 -0.420885930760E-01                      0.942815656895E+00  0.445005497176E-02
 -0.243087829482E+02 -0.345656486951E+01 -0.154639468958E+01 -0.204118718336E-01                      0.951841619602E+00  0.466008853578E-02
 -0.225598130451E+02 -0.367887770312E+01 -0.128694952661E+01 -0.170014577062E-03                      0.959777778796E+00  0.475566601569E-02
 -0.207215031476E+02 -0.390478036466E+01 -0.105736527378E+01  0.174651536218E-01                      0.966641017823E+00  0.473689622242E-02
 -0.188234700173E+02 -0.412060046970E+01 -0.859476084317E+00  0.316341705704E-01                      0.972492566242E+00  0.461256741641E-02
 -0.169104016453E+02 -0.430550103192E+01 -0.692515144310E+00  0.419135669127E-01                      0.977422009852E+00  0.439860431271E-02
 -0.150309121039E+02 -0.443713562273E+01 -0.554058589607E+00  0.483307872928E-01                      0.981533372835E+00  0.411548226916E-02
 -0.132290857848E+02 -0.449746623371E+01 -0.440814011846E+00  0.512816733799E-01                      0.984934389195E+00  0.378530966427E-02
 -0.115395842540E+02 -0.447670333455E+01 -0.349198483347E+00  0.513936129060E-01                      0.987729097736E+00  0.342924710410E-02
