96 180.0 1.0
   50.00
  0.11815E+02  0.16930E+02
  0.11796E+02  0.16904E+02
  0.11779E+02  0.16881E+02
  0.11762E+02  0.16860E+02
  0.11748E+02  0.16840E+02
  0.11735E+02  0.16823E+02
  0.11723E+02  0.16808E+02
  0.11713E+02  0.16795E+02
  0.11682E+02  0.16753E+02
  0.11640E+02  0.16695E+02
  0.11599E+02  0.16639E+02
  0.11560E+02  0.16585E+02
  0.11523E+02  0.16534E+02
  0.11488E+02  0.16486E+02
  0.11455E+02  0.16440E+02
  0.11418E+02  0.16387E+02
  0.11362E+02  0.16303E+02
  0.11307E+02  0.16222E+02
  0.11256E+02  0.16144E+02
  0.11207E+02  0.16068E+02
  0.11160E+02  0.15996E+02
  0.11116E+02  0.15927E+02
  0.11074E+02  0.15860E+02
  0.11021E+02  0.15770E+02
  0.10965E+02  0.15673E+02
  0.10912E+02  0.15579E+02
  0.10862E+02  0.15489E+02
  0.10814E+02  0.15402E+02
  0.10770E+02  0.15318E+02
  0.10728E+02  0.15237E+02
  0.10687E+02  0.15155E+02
  0.10638E+02  0.15051E+02
  0.10591E+02  0.14950E+02
  0.10548E+02  0.14853E+02
  0.10507E+02  0.14759E+02
  0.10469E+02  0.14669E+02
  0.10434E+02  0.14582E+02
  0.10401E+02  0.14498E+02
  0.10366E+02  0.14405E+02
  0.10327E+02  0.14301E+02
  0.10290E+02  0.14200E+02
  0.10256E+02  0.14102E+02
  0.10224E+02  0.14008E+02
  0.10195E+02  0.13918E+02
  0.10168E+02  0.13830E+02
  0.10144E+02  0.13747E+02
  0.10116E+02  0.13653E+02
  0.10084E+02  0.13553E+02
  0.10055E+02  0.13457E+02
  0.10028E+02  0.13365E+02
  0.10003E+02  0.13276E+02
  0.99804E+01  0.13191E+02
  0.99605E+01  0.13110E+02
  0.99431E+01  0.13033E+02
  0.99227E+01  0.12951E+02
  0.98972E+01  0.12863E+02
  0.98736E+01  0.12779E+02
  0.98519E+01  0.12698E+02
  0.98321E+01  0.12621E+02
  0.98143E+01  0.12548E+02
  0.97983E+01  0.12479E+02
  0.97841E+01  0.12414E+02
  0.97718E+01  0.12352E+02
  0.97504E+01  0.12281E+02
  0.97305E+01  0.12213E+02
  0.97123E+01  0.12150E+02
  0.96959E+01  0.12092E+02
  0.96810E+01  0.12036E+02
  0.96678E+01  0.11983E+02
  0.96562E+01  0.11934E+02
  0.96462E+01  0.11888E+02
  0.96364E+01  0.11845E+02
  0.96205E+01  0.11798E+02
  0.96063E+01  0.11756E+02
  0.95935E+01  0.11717E+02
  0.95824E+01  0.11683E+02
  0.95728E+01  0.11652E+02
  0.95648E+01  0.11626E+02
  0.95583E+01  0.11604E+02
  0.95530E+01  0.11585E+02
  0.95478E+01  0.11565E+02
  0.95388E+01  0.11545E+02
  0.95301E+01  0.11528E+02
  0.95228E+01  0.11515E+02
  0.95171E+01  0.11505E+02
  0.95129E+01  0.11500E+02
  0.95101E+01  0.11498E+02
  0.95089E+01  0.11500E+02
  0.95092E+01  0.11507E+02
  0.95109E+01  0.11517E+02
  0.95133E+01  0.11529E+02
  0.95109E+01  0.11537E+02
  0.95092E+01  0.11548E+02
  0.95089E+01  0.11563E+02
  0.95101E+01  0.11581E+02
  0.95129E+01  0.11603E+02
  0.95171E+01  0.11629E+02
  0.95228E+01  0.11658E+02
  0.95301E+01  0.11691E+02
  0.95388E+01  0.11728E+02
  0.95478E+01  0.11766E+02
  0.95530E+01  0.11797E+02
  0.95583E+01  0.11833E+02
  0.95648E+01  0.11874E+02
  0.95728E+01  0.11917E+02
  0.95824E+01  0.11964E+02
  0.95935E+01  0.12015E+02
  0.96063E+01  0.12068E+02
  0.96205E+01  0.12125E+02
  0.96364E+01  0.12186E+02
  0.96462E+01  0.12236E+02
  0.96562E+01  0.12287E+02
  0.96678E+01  0.12340E+02
  0.96810E+01  0.12397E+02
  0.96959E+01  0.12458E+02
  0.97123E+01  0.12527E+02
  0.97305E+01  0.12598E+02
  0.97504E+01  0.12673E+02
  0.97718E+01  0.12751E+02
  0.97841E+01  0.12812E+02
  0.97983E+01  0.12877E+02
  0.98143E+01  0.12944E+02
  0.98321E+01  0.13015E+02
  0.98519E+01  0.13088E+02
  0.98736E+01  0.13165E+02
  0.98972E+01  0.13245E+02
  0.99227E+01  0.13328E+02
  0.99431E+01  0.13402E+02
  0.99605E+01  0.13469E+02
  0.99804E+01  0.13542E+02
  0.10003E+02  0.13623E+02
  0.10028E+02  0.13708E+02
  0.10055E+02  0.13796E+02
  0.10084E+02  0.13888E+02
  0.10116E+02  0.13984E+02
  0.10144E+02  0.14073E+02
  0.10168E+02  0.14153E+02
  0.10195E+02  0.14237E+02
  0.10224E+02  0.14325E+02
  0.10256E+02  0.14418E+02
  0.10290E+02  0.14516E+02
  0.10327E+02  0.14618E+02
  0.10366E+02  0.14725E+02
  0.10401E+02  0.14824E+02
  0.10434E+02  0.14918E+02
  0.10469E+02  0.15017E+02
  0.10507E+02  0.15121E+02
  0.10548E+02  0.15231E+02
  0.10591E+02  0.15347E+02
  0.10638E+02  0.15468E+02
  0.10687E+02  0.15596E+02
  0.10728E+02  0.15712E+02
  0.10770E+02  0.15829E+02
  0.10814E+02  0.15952E+02
  0.10862E+02  0.16081E+02
  0.10912E+02  0.16215E+02
  0.10965E+02  0.16356E+02
  0.11021E+02  0.16502E+02
  0.11074E+02  0.16645E+02
  0.11116E+02  0.16765E+02
  0.11160E+02  0.16890E+02
  0.11207E+02  0.17020E+02
  0.11256E+02  0.17156E+02
  0.11307E+02  0.17297E+02
  0.11362E+02  0.17443E+02
  0.11418E+02  0.17594E+02
  0.11455E+02  0.17702E+02
  0.11488E+02  0.17800E+02
  0.11523E+02  0.17902E+02
  0.11560E+02  0.18008E+02
  0.11599E+02  0.18117E+02
  0.11640E+02  0.18230E+02
  0.11682E+02  0.18346E+02
  0.11713E+02  0.18433E+02
  0.11723E+02  0.18468E+02
  0.11735E+02  0.18506E+02
  0.11748E+02  0.18545E+02
  0.11762E+02  0.18587E+02
  0.11779E+02  0.18631E+02
  0.11796E+02  0.18676E+02
  0.11815E+02  0.18724E+02
   60.00
  0.10261E+02  0.14950E+02
  0.10242E+02  0.14923E+02
  0.10223E+02  0.14899E+02
  0.10207E+02  0.14876E+02
  0.10192E+02  0.14855E+02
