1    20.0      0.1                 1
    392.00
  0.157054592110E+02 -0.390562111093E+02 -0.730420203437E+00  0.494556810622E+00                      0.852010474085E+00  0.651029092006E-01
  0.157013733392E+02 -0.389492931261E+02 -0.741168839934E+00  0.498782152089E+00                      0.852302935981E+00  0.649373790742E-01
  0.156972874673E+02 -0.388423751429E+02 -0.751917476430E+00  0.503007493555E+00                      0.852595397876E+00  0.647718489479E-01
  0.156883826722E+02 -0.386623472707E+02 -0.769757652653E+00  0.509911651831E+00                      0.853092100371E+00  0.644929217490E-01
  0.156716836054E+02 -0.384067268220E+02 -0.794706876769E+00  0.519400535469E+00                      0.853806949630E+00  0.640961074218E-01
  0.156428855190E+02 -0.380721804310E+02 -0.826684774762E+00  0.531278245472E+00                      0.854759387882E+00  0.635752816317E-01
  0.155963632765E+02 -0.376547851612E+02 -0.865515431111E+00  0.545267268366E+00                      0.855974280306E+00  0.629228716388E-01
  0.155251466409E+02 -0.371503136334E+02 -0.910870765865E+00  0.560991649175E+00                      0.857481643991E+00  0.621301280498E-01
  0.154209365153E+02 -0.365545868957E+02 -0.962201057339E+00  0.577959718720E+00                      0.859316120145E+00  0.611875036851E-01
  0.152741855603E+02 -0.358638831205E+02 -0.101865538807E+01  0.595549321856E+00                      0.861516068736E+00  0.600851605264E-01
  0.150742648871E+02 -0.350753764600E+02 -0.107899821638E+01  0.612999597581E+00                      0.864122150465E+00  0.588136208754E-01
  0.148097333934E+02 -0.341875645226E+02 -0.114153299112E+01  0.629414362155E+00                      0.867175263305E+00  0.573645676757E-01
  0.144687193776E+02 -0.332006293979E+02 -0.120404929865E+01  0.643782598928E+00                      0.870713732079E+00  0.557317799801E-01
  0.140394195636E+02 -0.321166728197E+02 -0.126381524232E+01  0.655020867577E+00                      0.874769723104E+00  0.539121624715E-01
  0.135107246032E+02 -0.309397785782E+02 -0.131763941483E+01  0.662039998948E+00                      0.879364982787E+00  0.519067947222E-01
  0.128729963204E+02 -0.296758892746E+02 -0.136202393816E+01  0.663833915164E+00                      0.884506179487E+00  0.497218917304E-01
  0.121190446875E+02 -0.283325361618E+02 -0.139341867838E+01  0.659582190275E+00                      0.890180343065E+00  0.473695409648E-01
  0.112453591941E+02 -0.269185141826E+02 -0.140856570166E+01  0.648751469648E+00                      0.896351099983E+00  0.448680737220E-01
  0.102536023000E+02 -0.254436235190E+02 -0.140489495070E+01  0.631176483687E+00                      0.902956521302E+00  0.422419499443E-01
  0.915224007347E+01 -0.239185796689E+02 -0.138090466538E+01  0.607101695328E+00                      0.909909354670E+00  0.395210897248E-01
  0.795797836981E+01 -0.223551205289E+02 -0.133644469118E+01  0.577170999230E+00                      0.917100142047E+00  0.367396652529E-01
  0.669647709559E+01 -0.207662355635E+02 -0.127282811545E+01  0.542364289894E+00                      0.924403240863E+00  0.339344567111E-01
  0.540177124165E+01 -0.191663570693E+02 -0.119272999358E+01  0.503892500281E+00                      0.931685166415E+00  0.311429511111E-01
  0.411404953986E+01 -0.175713333383E+02 -0.109988312736E+01  0.463072145614E+00                      0.938814130860E+00  0.284014033483E-01
  0.287591299786E+01 -0.159980639402E+02 -0.998632156437E+00  0.421203074592E+00                      0.945669353777E+00  0.257430742014E-01
  0.172777383737E+01 -0.144637920302E+02 -0.893439409910E+00  0.379468718952E+00                      0.952148772561E+00  0.231968156427E-01
  0.703401508411E+00 -0.129851648629E+02 -0.788438203615E+00  0.338869334812E+00                      0.958174170224E+00  0.207861057480E-01
 -0.173398123785E+00 -0.115772432936E+02 -0.687104082524E+00  0.300189459841E+00                      0.963693324411E+00  0.185285629949E-01
 -0.890352850909E+00 -0.102526441625E+02 -0.592074971792E+00  0.263994108676E+00                      0.968679371360E+00  0.164359080212E-01
